function,dimension,n_optima,n_funnels,n_global_funnels,neutral,global_strength,sink_strength,global_funnel_proportion,success,deviation
Ackley 4,3,484,1,1,0.0163,0.1295,1.0,1.0,1.0,0.0
Ackley 4,5,1057,1,1,0.0121,0.0765,1.0,1.0,1.0,0.0
Ackley 4,8,1898,1,1,0.0145,0.0475,1.0,1.0,1.0,0.0
Griewank,3,1735,1,1,0.0524,0.0466,1.0,1.0,1.0,0.0
Griewank,5,841,1,1,0.1267,0.1006,1.0,1.0,1.0,0.0
Griewank,8,281,1,1,0.1925,0.2688,1.0,1.0,1.0,0.0
Schwefel 2.26,3,149,1,1,0.1024,0.2301,1.0,1.0,0.85,17.76600000000001
Schwefel 2.26,5,462,5,1,0.172,0.0413,0.4706,0.803030303030303,0.24,112.51039999999986
Schwefel 2.26,8,859,58,1,0.2924,0.0037,0.0345,0.07217694994179279,0.03,291.3544000000001
