k,n_optima,n_funnels,global_strength,global_funnel_prop,ils_success
0.1,6,1,1.0,1.0,1.0
0.11836734693877551,12,1,1.0,1.0,1.0
0.13673469387755102,11,1,1.0,1.0,1.0
0.15510204081632656,2,1,1.0,1.0,1.0
0.17346938775510207,6,1,1.0,1.0,1.0
0.19183673469387758,15,1,1.0,1.0,1.0
0.21020408163265308,18,1,0.9412,1.0,1.0
0.2285714285714286,34,1,0.9394,1.0,1.0
0.2469387755102041,31,1,1.0,1.0,1.0
0.2653061224489796,34,1,0.8788,1.0,1.0
0.2836734693877551,78,1,0.7595,1.0,1.0
0.3020408163265306,62,1,0.8361,1.0,1.0
0.3204081632653062,90,1,0.7692,1.0,1.0
0.3387755102040817,95,1,0.7234,1.0,1.0
0.3571428571428572,110,1,0.6455,1.0,1.0
0.3755102040816327,127,1,0.5725,1.0,1.0
0.3938775510204082,146,1,0.5986,1.0,1.0
0.41224489795918373,185,1,0.4523,1.0,1.0
0.43061224489795924,182,1,0.4809,1.0,1.0
0.44897959183673475,221,1,0.4167,1.0,1.0
0.46734693877551026,278,1,0.3225,1.0,1.0
0.48571428571428577,262,1,0.3407,1.0,1.0
0.5040816326530613,288,2,0.2997,1.0,1.0
0.5224489795918368,300,3,0.2952,0.9833333333333333,0.99
0.5408163265306123,316,3,0.2596,1.0,0.97
0.5591836734693878,320,1,0.2771,1.0,1.0
0.5775510204081633,355,7,0.2277,1.0,0.92
0.5959183673469388,404,21,0.1854,0.9356435643564357,0.81
0.6142857142857143,437,15,0.2113,0.965675057208238,0.97
0.6326530612244898,413,25,0.1598,0.9661016949152542,0.74
0.6510204081632653,443,24,0.1747,0.945823927765237,0.86
0.6693877551020408,416,15,0.1703,0.9639423076923077,0.8
0.6877551020408164,463,35,0.0937,0.8142548596112311,0.46
0.7061224489795919,475,28,0.0563,0.7326315789473684,0.3
0.7244897959183674,494,31,0.0921,0.7854251012145749,0.5
0.7428571428571429,465,30,0.0536,0.6903225806451613,0.27
0.7612244897959184,439,28,0.0968,0.8291571753986332,0.49
0.7795918367346939,514,34,0.0773,0.6809338521400778,0.43
0.7979591836734694,485,35,0.0358,0.3938144329896907,0.19
0.8163265306122449,550,42,0.0553,0.5727272727272728,0.31
0.8346938775510204,516,36,0.0166,0.40310077519379844,0.09
0.8530612244897959,494,30,0.0575,0.6983805668016194,0.31
0.8714285714285714,521,30,0.0542,0.6641074856046065,0.3
0.889795918367347,491,30,0.0678,0.6415478615071283,0.38
0.9081632653061225,518,30,0.0305,0.333976833976834,0.19
0.926530612244898,515,29,0.029,0.34757281553398056,0.16
0.9448979591836735,514,31,0.0667,0.72568093385214,0.38
0.963265306122449,538,36,0.0017,0.013011152416356878,0.01
0.9816326530612246,498,33,0.0549,0.5261044176706827,0.3
1.0,538,36,0.0017,0.013011152416356878,0.01
