run,fit1,node1,fit2,node2
3,349.0,01011011111000000010,349.0,01011011111000000010
3,349.0,01011011111000000010,349.0,01011011111000000010
3,349.0,01011011111000000010,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
3,161.0,01011001111010000110,161.0,01011001111010000110
4,2133.0,01010001110001101010,2133.0,01010001110001101010
4,2133.0,01010001110001101010,845.0,01111100100001111000
4,845.0,01111100100001111000,263.0,01111000100100111100
4,263.0,01111000100100111100,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,101.0,00110010100110111000
4,101.0,00110010100110111000,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,69.0,00111010001100101001
4,69.0,00111010001100101001,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
4,9.0,00011111001000101011,9.0,00011111001000101011
5,52045.0,11001010101101010011,9349.0,11000010101111100010
5,9349.0,11000010101111100010,119.0,00000011101111100011
5,119.0,00000011101111100011,119.0,00000011101111100011
5,119.0,00000011101111100011,119.0,00000011101111100011
5,119.0,00000011101111100011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,13.0,00001101101111101011
5,13.0,00001101101111101011,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
5,9.0,01001101110110111101,9.0,01001101110110111101
